gen,best_J,mean_J,std_J,V_SoC,V_occ,V_grid,diversity
0,-0.055711005249164176,39.4442095333976,48.498662095726345,0.006181578930398779,0.0,0.0,0.0
1,-0.055711005249164176,5.1525448348925975,11.236995864405289,0.006181578930398779,0.0,0.0,30.937400572256895
2,-0.055711005249164176,0.4051424298248042,1.0083193957729624,0.006181578930398779,0.0,0.0,26.11608079376484
3,-0.055711005249164176,0.05682995985729041,0.1982836835241416,0.006181578930398779,0.0,0.0,19.164369036956625
4,-0.06068810958150242,-0.027526635120391215,0.02552268082507816,0.0,0.0,0.0,13.768110051090305
5,-0.06068810958150242,-0.04595405981487713,0.009182816641713101,0.0,0.0,0.0,10.91227293517876
6,-0.06280908555605891,-0.0514505778461325,0.011323176548932955,0.0009327264593029239,0.0,0.0,8.8510248096903
7,-0.06291755327359241,-0.05453429778149938,0.015501355891306395,0.0009327264592944307,0.0,0.0,8.655555339164225
8,-0.06291755327359241,-0.05889553031759497,0.0025842496767671265,0.0009327264592944307,0.0,0.0,7.711350519976755
9,-0.06487557173456664,-0.06020800840271353,0.002415887143243512,0.0008974824366870804,0.0,0.0,8.03321425725266
10,-0.06487557173456664,-0.061407509802468126,0.0021029987601553974,0.0008974824366870804,0.0,0.0,7.405449019901839
11,-0.06531208440250169,-0.062366534696774084,0.0015679184723444413,0.0,0.0,0.0,6.810533621340995
12,-0.06630091238511002,-0.06293306628089751,0.0018863793117733095,0.0,0.0,0.0,6.666574499860989
13,-0.06630633374494757,-0.06338972614943544,0.002319260798674608,0.0,0.0,0.0,6.863317872128031
14,-0.06671139510961,-0.06439785536329172,0.0018986131214870049,0.0,0.0,0.0,6.171691530437998
15,-0.06760690161541955,-0.06495546680671183,0.001403156047484026,0.0,0.0,0.0,5.843033594573944
16,-0.06760690161541955,-0.06540249180068018,0.0014469420360029993,0.0,0.0,0.0,5.630709387560644
17,-0.06775726563845044,-0.06581985638343342,0.0013664080501296313,0.0,0.0,0.0,5.33695800522001
18,-0.06806493907362096,-0.06640176132680604,0.0010602790824926459,0.0,0.0,0.0,5.170715718203311
19,-0.06822063081126303,-0.06673288859117718,0.0009883774334878068,0.0,0.0,0.0,4.95923215329727
20,-0.06851978274161932,-0.06707655942891162,0.0008985568502174574,0.0,0.0,0.0,4.715970793502407
21,-0.06880544044400727,-0.0674410220407538,0.0009009849932551966,0.0,0.0,0.0,4.528023113096191
22,-0.06880544044400727,-0.06769154135110582,0.000832011334589703,0.0,0.0,0.0,4.135096242554552
23,-0.06884098708622649,-0.06792433421103977,0.0006246841478141433,0.0,0.0,0.0,4.240757488825171
24,-0.06922936190290582,-0.06815275235127978,0.0006423355748078878,0.0,0.0,0.0,3.856645770405473
25,-0.06933601651651539,-0.06842168519061684,0.0006405493051399061,0.0,0.0,0.0,3.9840638422994834
26,-0.06949650925089695,-0.06868835861281757,0.0006031761533665155,0.0,0.0,0.0,3.2487596514713517
27,-0.06973051963882806,-0.06888591942226446,0.0005179060965567689,0.0,0.0,0.0,3.1492525543849883
28,-0.06973161119216945,-0.06911393501753649,0.0004301917488361435,0.0,0.0,0.0,2.8985225450900214
29,-0.06977738405002282,-0.06923159666946252,0.0004198872578846168,0.0,0.0,0.0,3.04416941468073
30,-0.06983475985936072,-0.06922862444273453,0.0008369846984328664,0.0,0.0,0.0,2.806694545854526
31,-0.06995383289060986,-0.06945251326795794,0.0005111211107638208,0.0,0.0,0.0,2.6375618700551717
32,-0.06995383289060986,-0.06957561266006476,0.0003517950357609774,0.0,0.0,0.0,2.249925526720266
33,-0.07003774072403945,-0.06967019727826451,0.0002953184187957669,0.0,0.0,0.0,2.2593737821759277
