gen,best_J,mean_J,std_J,V_SoC,V_occ,V_grid,diversity
72,-0.006555369862397367,-0.005530349251824071,0.0006443515099866864,0.0,0.0,0.0,17.367275401290403
73,-0.006591612604769252,-0.005794987059283345,0.00047572365438767366,0.0,0.0,0.0,16.209303100269192
74,-0.006591612604769252,-0.005884251736105991,0.0005160415906658402,0.0,0.0,0.0,16.476738569601814
75,-0.006591612604769252,-0.006141846950342897,0.0003169558491752244,0.0,0.0,0.0,15.72061934025112
76,-0.006714872528524318,-0.00624293518040175,0.00043429985598122765,0.0,0.0,0.0,15.755524622045609
77,-0.006880740113561351,-0.006231659778225979,0.0008441923314116879,0.0,0.0,0.0,15.916602507375478
78,-0.006982894593604509,-0.006419906468075223,0.0005807103613773079,0.0,0.0,0.0,15.373754260511106
79,-0.007008475732425037,-0.00664006920992805,0.000273336634816952,0.0,0.0,0.0,14.750504452327718
80,-0.007058960231858813,-0.00668693866350317,0.0002895970199841936,0.0,0.0,0.0,14.888877070456827
81,-0.007207675839835864,-0.0068414088524591955,0.0002221541977163003,0.0,0.0,0.0,14.19329802571031
82,-0.007345068851387158,-0.006841277838308765,0.0005322115337043404,0.0,0.0,0.0,14.450602836902181
83,-0.007622146140445131,-0.006859714224182566,0.0007941377059394399,0.0,0.0,0.0,13.45747728769925
84,-0.007628745790754614,-0.006959547945057506,0.0008231978698061379,0.0,0.0,0.0,13.910924644635413
85,-0.007884388374589796,-0.00721555123140801,0.0004522647849547541,0.0,0.0,0.0,14.213358266835387
86,-0.007947757587702602,-0.0073069327385815955,0.0005065627205587845,0.0,0.0,0.0,14.661598884968214
87,-0.007959101751186692,-0.007333214824423458,0.0006759441207212348,0.0,0.0,0.0,14.568925216139506
88,-0.008000422037070805,-0.007367587203111356,0.0007470898869810018,0.0,0.0,0.0,13.69777722688088
89,-0.008125658331805972,-0.007239565685745339,0.0010503707319315853,0.0,0.0,0.0,14.265364947660265
90,-0.00822235475370564,-0.007495778729579673,0.0007954345425553965,0.0,0.0,0.0,14.03408435307472
91,-0.008380637455761925,-0.007645223966486081,0.0005487341260187926,0.0,0.0,0.0,14.919683994138197
92,-0.008380637455761925,-0.007612461090303929,0.0013186798171963177,0.0,0.0,0.0,14.798339072346014
93,-0.00858792027841334,-0.007906659380647524,0.0006669043466174634,0.0,0.0,0.0,12.912290842916903
94,-0.00858792027841334,-0.007891000779247207,0.0008731415618192834,0.0,0.0,0.0,13.701825304688708
95,-0.009003268750701853,-0.008140640251560968,0.0005857242351333681,0.007824289494665305,0.0,0.0,12.703861037225783
96,-0.009085011983246044,-0.0083419039228504,0.00041521290874140264,0.0,0.0,0.0,11.929543926505305
97,-0.009110959364387092,-0.008299928989266705,0.0008221241677688035,0.0,0.0,0.0,12.703256644327707
98,-0.009110959364387092,-0.008169283222532218,0.001669633609599109,0.0,0.0,0.0,12.140922933197388
99,-0.009195987954086243,-0.008695807412598764,0.00045075676841197177,0.0,0.0,0.0,12.824361985000614
100,-0.009275217598379043,-0.008820294711331864,0.0004990631686417577,0.0,0.0,0.0,12.15350968757138
